Region,Median Income,Solar Potential (MW),Wind Potential (MW),Avg Energy Price ($/kWh),Subsidy Amount ($),Public Awareness (%),Grid Capacity (MW),Renewable Market Share (%),Fossil Market Share (%),Policy Support Index
Yonkers,23554.39767,483.1917866,879.4575006,0.162721042,7642302.548,31.75483698,1266.230591,73.4261967,26.5738033,55.57988324
Adirondacks,54861.25954,426.1910542,140.6968031,0.166880133,1745188.011,79.54900503,1842.254022,47.65710936,52.34289064,33.29305893
Albany,44223.76579,363.1883927,123.730277,0.129406152,6428368.985,37.73219205,579.1919402,42.99236826,57.00763174,92.90298256
Binghamton,39846.17,234.028825,438.8170302,0.125619689,3208141.987,50.10713126,1321.33985,40.89531126,59.10468874,26.24803162
Buffalo,59175.14433,127.982444,829.4979977,0.128372091,4503660.526,74.61049538,1336.808396,57.75855909,42.24144091,56.1964142
Catskills,65464.99284,120.3966692,988.5485164,0.169722607,3598243.631,39.64559376,1519.60344,57.75503021,42.24496979,62.67553762
Elmira,63969.20179,162.6093042,235.375202,0.128950776,4201054.448,79.07802145,436.8218332,27.20003637,72.79996363,58.27598195
Finger Lakes,37411.73715,297.1519991,634.7176438,0.164488743,7471413.147,79.92805068,1488.484936,46.36437813,53.63562187,46.29424682
Hudson Valley,45361.81436,371.5681652,442.801771,0.25377004,3674095.441,60.44806403,1836.258537,39.45091784,60.54908216,47.40358601
Ithaca,54968.95147,347.0888195,972.922958,0.193556235,6097641.763,30.3831523,523.429596,80.60780123,19.39219877,50.87622944
Jamestown,64633.17691,175.9702536,857.9070308,0.133698823,5284453.62,47.22228799,627.5779849,50.52776831,49.47223169,47.05995997
Long Island,42812.38643,479.6893763,854.4958342,0.210060696,6973040.488,67.0156151,1948.511169,73.06392471,26.93607529,69.27758234
Mohawk Valley,47215.11535,382.0536125,521.8238438,0.129596231,9431467.654,88.87117068,525.7585149,56.55466154,43.44533846,94.21046003
New York City,33404.97539,299.4593236,473.3375521,0.05,7593148.875,67.90881162,1737.893168,45.66360896,54.33639104,38.8501643
Niagara,32056.90064,325.2743358,346.0663647,0.099595684,2934463.407,45.58821486,1086.100142,42.90388491,57.09611509,22.60394041
North Country,62187.88734,238.8200281,150.737947,0.056460404,1280648.216,68.04034219,645.0159339,35.70331164,64.29668836,48.23435903
Plattsburgh,70343.60043,161.4789453,878.2501386,0.132424326,3360376.399,62.39912278,1767.349822,58.93771511,41.06228489,100
Poughkeepsie,48919.84818,210.1877054,831.6109082,0.150920919,6355701.376,76.79072371,1001.549459,53.32472577,46.67527423,33.92650864
Rochester,65052.99347,391.0307497,999.745906,0.233821866,1462832.321,36.41883833,1126.671237,79.64811393,20.35188607,82.78233611
Saratoga,55424.54038,56.47706988,996.9731534,0.166346369,5467296.225,75.66167415,846.6200649,55.92195036,44.07804964,83.55401628
Syracuse,40323.20368,102.2326882,599.888535,0.139044974,6371585.64,62.47599472,1267.311533,46.09137446,53.90862554,38.92823517
Troy,55420.93408,70.70118891,792.0886737,0.191470279,4008195.017,87.77952023,494.3429707,50.06055261,49.93944739,61.37966158
Utica,73070.5485,68.32796104,950.2891569,0.05,7938209.834,50.51232996,903.946766,61.34948096,38.65051904,82.56793246
Watertown,49462.60941,434.9572628,864.6826516,0.161780728,1959384.278,67.95731359,1944.94218,73.18715364,26.81284636,42.41744518
Westchester,73469.65484,366.6460367,322.6132916,0.18854326,1676240.036,85.92168633,664.6401789,52.71046792,47.28953208,45.9283928
Yonkers,20000,263.3782231,505.4897218,0.076070688,7553698.806,36.15058368,1382.125996,42.76402822,57.23597178,38.36638172
Adirondacks,62328.53757,94.02537229,216.2434736,0.207187702,5459421.846,86.23370923,785.3421156,17.01044184,82.98955816,29.70486539
Albany,51305.70602,271.2271438,958.6459245,0.16692482,7195621.568,71.27314334,1592.251626,65.44992088,34.55007912,37.0144491
Binghamton,45514.88974,263.0622969,645.557171,0.129235604,4913446.047,34.07022355,435.5725893,45.45284862,54.54715138,25.52119466
Buffalo,51376.41165,127.9408415,305.778525,0.181639093,3217618.299,48.05781402,1945.677881,27.47031618,72.52968382,50.68166937
Catskills,20186.46628,245.2332422,704.530616,0.263534643,8371920.859,72.49032532,1016.821174,51.30573943,48.69426057,34.60053538
Elmira,46704.92168,229.3271305,656.3154164,0.159093313,8194742.911,34.04103609,624.890834,56.34172383,43.65827617,54.67571824
Finger Lakes,55356.68857,327.1325441,422.3464462,0.162411029,7252268.238,64.93022761,332.2941452,44.05204595,55.94795405,18.88208708
Hudson Valley,72168.41067,335.7921429,202.201833,0.127031955,3449306.235,50.75298342,505.5642292,42.65836849,57.34163151,56.61760464
Ithaca,42225.94673,70.3868044,704.415876,0.107507782,6312076.002,67.25493107,1135.593107,51.80057062,48.19942938,66.67057923
Jamestown,37872.59596,218.5756766,568.2769308,0.191516791,4248765.072,32.74452203,806.6057176,41.84917204,58.15082796,10.12528715
Long Island,42473.64435,331.6369621,795.0865526,0.107195809,1824238.66,82.29220837,1691.990059,74.70557297,25.29442703,57.4811314
Mohawk Valley,63731.03177,276.4113164,568.147151,0.153578312,9255822.179,88.40933815,975.5975426,55.96655441,44.03344559,74.55337985
New York City,54931.26664,435.4204285,866.9633503,0.126117128,2231367.678,88.13267132,647.6856907,60.07379055,39.92620945,25.80717963
Niagara,42053.59694,346.4121342,596.7161549,0.173948991,9552136.184,74.9791099,1310.860976,60.97058682,39.02941318,83.45144774
North Country,57699.0115,123.3204922,604.8441744,0.166683105,5014051.957,37.80517441,1472.19899,45.1067276,54.8932724,58.38038019
Plattsburgh,51456.16324,81.75593633,888.9882424,0.201876997,2666196.36,75.49579176,500.6754342,55.64924226,44.35075774,35.89976288
Poughkeepsie,64529.67486,339.0886752,463.1345796,0.12449918,5877108.526,31.47521499,501.7145893,53.57803978,46.42196022,48.88461845
Rochester,39469.20359,61.93008974,220.6137056,0.136506253,8856512.523,31.32741309,266.0085685,21.91164787,78.08835213,61.16653825
Saratoga,45085.0678,313.5990116,125.9044087,0.101061814,7590023.978,49.41661315,1525.523627,27.39114342,72.60885658,51.52010783
Syracuse,44118.3777,473.1036086,779.6235301,0.127785337,8259050.331,59.31859142,1394.84815,69.01539119,30.98460881,60.77511985
Troy,28047.27578,308.96338,658.2785962,0.168865025,6929050.3,76.22444507,1054.335576,46.57972477,53.42027523,31.58652814
Utica,54441.80416,224.6764668,733.6717913,0.187849431,7230489.081,70.9977226,1719.506808,50.70774447,49.29225553,53.38721648
Watertown,53915.82908,339.4796983,291.6677454,0.103891734,8642760.864,56.75416238,1650.206275,42.54253765,57.45746235,21.72571006
Westchester,50076.70185,256.2138007,222.734328,0.193480296,3247012.08,46.41759998,1253.637856,42.41694175,57.58305825,47.77547877
Yonkers,46481.193,295.5275552,113.0901991,0.217781893,5404824.673,89.82747001,1762.888305,32.06892294,67.93107706,31.92184717
Adirondacks,28769.43887,473.6591639,415.5288029,0.170671745,2990884.976,55.57087813,570.5141781,45.46717065,54.53282935,35.28940115
Albany,43690.32016,223.746187,630.9259182,0.243839791,9889012.072,57.08322146,401.4553149,52.72603965,47.27396035,74.7218635
Binghamton,44859.28225,482.5357537,453.0196406,0.11131054,9496534.057,39.81742927,685.5493007,64.72463675,35.27536325,71.82620241
Buffalo,37965.84096,457.4077889,493.7274298,0.087767265,1354841.302,77.68857292,302.756341,54.15951034,45.84048966,62.18276242
Catskills,47580.71433,138.1060107,913.742825,0.061063988,7350176.553,71.62093355,1156.10515,51.73943371,48.26056629,28.15374471
Elmira,56060.76285,81.21258539,413.4299203,0.224802216,9327234.857,43.24617677,1885.890246,31.4566523,68.5433477,43.67183101
Finger Lakes,78292.78852,95.35010062,562.5905402,0.182718283,2625178.106,34.94286274,270.8183732,39.55561033,60.44438967,74.261954
Hudson Valley,52618.66719,58.19982154,805.2877115,0.147220766,6111507.075,70.82995812,419.7978452,49.49020047,50.50979953,52.83433827
Ithaca,53863.25586,92.49933234,456.8885041,0.163998431,9239394.678,69.27067286,1013.958251,38.24574403,61.75425597,96.3865908
Jamestown,48883.31126,357.353048,659.8780302,0.093725548,1305513.807,46.39557162,1880.975032,60.60893312,39.39106688,57.86635679
Long Island,21218.43177,82.03489181,876.1273379,0.272287599,7276782.405,87.05181374,769.080989,43.03566754,56.96433246,53.84098233
Mohawk Valley,49602.29187,193.5390336,954.5685613,0.156461059,3676141.066,39.06347351,1113.022656,56.94978923,43.05021077,43.81767072
New York City,50903.45315,430.1938899,232.3661328,0.15546974,9319565.758,55.94008806,274.8311463,49.07561262,50.92438738,52.6708181
Niagara,86948.63169,60.47237108,933.9288626,0.186288331,9739524.206,86.61695521,467.0177617,52.51125451,47.48874549,46.95060327
North Country,47114.58553,416.5108172,542.9046638,0.174050462,9498398.402,55.18363902,1975.934221,66.46933074,33.53066926,64.16217353
Plattsburgh,54523.21014,176.8346486,332.4199495,0.161194201,5267927.95,68.31155686,1937.213654,34.27442162,65.72557838,69.13404634
Poughkeepsie,49479.32345,103.1741724,513.2221806,0.110476277,8758383.859,53.85566388,208.8919657,36.21871462,63.78128538,34.28021079
Rochester,32469.82944,363.5317244,982.0293178,0.173573418,8600944.587,46.45291214,1913.261214,71.34054737,28.65945263,23.37534093
Saratoga,67142.34222,333.0242811,543.3562846,0.244101225,3871904.259,89.03865888,1350.415888,42.66570306,57.33429694,13.27589254
Syracuse,61278.99549,444.8624061,395.8764493,0.217271002,8460239.267,54.56004038,1762.25293,45.86664048,54.13335952,60.15982654
Troy,61865.47921,380.7819697,670.0607689,0.229659331,1333068.712,83.64595222,1018.53174,51.00088207,48.99911793,27.93266788
Utica,36359.18818,411.5664187,316.1310569,0.124439216,6366428.906,43.79727635,1128.072851,47.98228555,52.01771445,6.942188141
Watertown,71041.91466,176.9155577,168.2769953,0.100519759,3070079.536,42.78628224,1079.923844,27.46807122,72.53192878,57.77157209
Westchester,28972.23406,129.8477947,215.9917497,0.143710654,2085101.972,31.86804497,1400.355664,42.10475654,57.89524346,99.85999035
Yonkers,58802.85641,387.7766382,215.2412551,0.152786246,1692578.815,69.10000952,451.3722586,39.92315432,60.07684568,49.87858177
Adirondacks,82856.83439,413.0756327,236.7124242,0.204709576,7266598.983,52.11158062,253.9524618,50.13845643,49.86154357,66.76981549
Albany,35141.95512,495.7273139,224.9444554,0.065376769,4058874.674,81.86149499,754.2738949,55.12982104,44.87017896,51.63658717
Binghamton,41505.53406,235.6779546,676.7872703,0.226477516,7522900.944,58.3925944,1468.425373,60.19540663,39.80459337,48.02220694
Buffalo,51494.77048,217.4081386,263.692076,0.142099605,1588207.067,88.09160567,563.3362138,45.88731925,54.11268075,68.38152966
Catskills,42447.86519,399.3858323,411.100555,0.128655947,3837613.04,41.13153094,1412.17838,55.11324072,44.88675928,44.19450912
Elmira,26740.04853,203.3615931,907.1095689,0.099394781,5855421.631,82.11739008,1945.841683,61.81518045,38.18481955,55.34784628
Finger Lakes,51028.44462,468.8407965,526.5654762,0.067257166,8116508.484,76.59581117,369.0212884,62.90194166,37.09805834,56.43395612
Hudson Valley,34065.44429,436.2857383,700.8019647,0.191158529,3868772.526,76.25531068,1410.683813,65.17139179,34.82860821,36.63819093
Ithaca,57103.88646,243.0473123,255.0878841,0.153665898,6633022.388,80.68699369,998.7503947,34.72489887,65.27510113,69.84084699
Jamestown,36208.63649,387.8919805,273.0601169,0.085501955,8973799.734,75.66143946,1762.656058,38.37587323,61.62412677,46.50080487
Long Island,73249.01608,389.5442933,136.7817546,0.085246061,6542768.694,67.5732193,518.869621,39.64046679,60.35953321,34.88509681
Mohawk Valley,38251.20061,96.40574098,252.0415568,0.133210765,3096635.273,37.87469266,1446.726714,24.91322337,75.08677663,60.73019687
New York City,45169.07726,456.148808,350.7313051,0.233451076,1219607.034,31.95157077,1708.607521,46.8520122,53.1479878,32.03064036
Niagara,62202.75826,277.3635676,259.3094358,0.137020432,8830889.865,85.25087087,1900.305595,41.77276687,58.22723313,50.56362315
North Country,31537.03525,421.9058597,179.8322804,0.074842852,1191424.698,66.99901887,1429.846451,45.41963438,54.58036562,49.81762007
Plattsburgh,53411.89902,194.0223205,208.572284,0.137712847,8872315.054,77.79223746,1094.914575,32.93924605,67.06075395,71.71791132
Poughkeepsie,69607.14131,452.9854528,514.7008912,0.136363822,5760434.206,58.89134109,1312.125032,68.06492382,31.93507618,59.49396466
Rochester,25887.75148,225.1407554,285.7003466,0.05,9451609.287,37.03849134,1764.028972,26.76673485,73.23326515,49.49946083
Saratoga,52769.50788,54.87694317,427.8428749,0.147285257,8189049.122,37.51114753,1227.097544,31.35051768,68.64948232,66.35532598
Syracuse,53898.24191,457.4218894,553.0755438,0.138453273,9981406.995,71.13391723,254.6967075,59.1544628,40.8455372,77.80415098
Troy,61727.34308,91.07900455,721.3553458,0.184810318,4156406.339,55.81835369,1875.707652,37.27462594,62.72537406,61.15620613
Utica,31445.73934,193.6911369,135.3809259,0.242447805,7904694.6,42.0314836,1441.148152,24.78858099,75.21141901,50.2070524
Watertown,30193.1508,477.5278852,819.469359,0.206328251,4617378.222,59.4956728,1417.724094,66.21735254,33.78264746,23.76327535
Westchester,57829.12348,477.7732161,665.1103505,0.136555565,5318880.583,33.85253622,588.2152743,71.49074073,28.50925927,28.69772674
Yonkers,54454.7701,308.0470497,173.5831288,0.094673705,6647549.169,64.91828411,1385.993846,38.41523415,61.58476585,43.89550591
Adirondacks,53757.39276,334.3267455,886.2207617,0.27866799,8863094.028,46.13960427,908.9559302,59.54421595,40.45578405,37.80975596
Albany,55196.72314,251.8004849,928.7851605,0.152960922,9856751.223,77.85354604,1372.219359,71.67562805,28.32437195,46.26057394
Binghamton,39799.62918,181.9448473,154.9701639,0.150696465,7914460.725,48.62171754,391.8674546,32.31392864,67.68607136,51.1329985
Buffalo,53483.80546,197.8990454,349.1898833,0.148793746,4759901.04,57.31320894,1384.121548,40.15979263,59.84020737,60.59385509
Catskills,54396.0871,352.6333052,825.5811518,0.159904238,4792213.02,30.69723239,1998.944706,63.34743505,36.65256495,48.59002444
Elmira,39284.72873,388.5685382,773.4337213,0.142781979,7638240.714,34.34681327,286.7816699,59.35574113,40.64425887,59.73003288
Finger Lakes,77986.61767,406.2105697,266.0689174,0.1213169,3148994.312,53.54961338,1958.913532,46.08196759,53.91803241,51.2894883
Hudson Valley,57107.49381,405.3281643,288.414391,0.122657053,1994267.018,58.79633008,932.4343293,48.05982484,51.94017516,10.49066867
Ithaca,32130.44754,91.04274637,433.4248925,0.148362336,4191599.419,66.00123289,1767.356211,38.55686598,61.44313402,31.21329212
Jamestown,59848.30413,272.4891371,536.0706867,0.122828761,3585150.925,47.49975472,1608.293871,56.20504864,43.79495136,47.11824889
Long Island,35379.77495,75.90144201,656.4292944,0.114357711,3666773.084,71.69891317,1220.62927,34.4855992,65.5144008,25.80610514
Mohawk Valley,61806.26906,297.287997,432.0222756,0.155321511,3102469.759,81.60734383,1529.208577,41.90056805,58.09943195,61.9985746
New York City,67378.93369,248.6887256,516.2812445,0.137251139,1378838.707,76.79105933,1781.32801,51.07639959,48.92360041,80.61501665
Niagara,37689.76522,449.4668822,772.7238443,0.225199649,1160865.413,32.37712952,927.452579,60.24127011,39.75872989,74.37523703
North Country,64450.64194,207.9117556,133.0148826,0.05,9889501.508,58.83041684,788.6596908,30.42931767,69.57068233,45.73114258
Plattsburgh,56191.7139,102.6801574,327.1932499,0.204575343,4849958.204,36.29581071,1401.668094,32.11115017,67.88884983,79.81452274
Poughkeepsie,62330.9024,114.3462569,742.0146273,0.21230426,4458939.824,44.52270095,1654.122695,45.74160315,54.25839685,52.97334914
Rochester,78451.89474,392.6797843,905.6861539,0.05,7116825.544,89.1997556,1572.113243,63.98573541,36.01426459,43.25828058
Saratoga,46319.17826,328.1981285,560.5096979,0.13286562,2964284.991,38.54973257,1636.064568,53.08538866,46.91461134,37.73194673
Syracuse,38693.95753,95.50520426,578.9021367,0.131427957,9549650.656,59.93328921,984.0499667,34.48734991,65.51265009,43.95060627
Troy,36657.28356,87.84806275,196.4548102,0.079624415,8077105.13,67.08934406,1672.101589,15.16886671,84.83113329,42.23646363
Utica,37762.84573,365.4361092,502.6711301,0.111109166,1804699.021,72.14789823,416.3762997,36.78881771,63.21118229,53.40832445
Watertown,48843.47436,82.74335286,579.3555398,0.094471208,4758226.982,63.57892101,1180.080376,38.20674364,61.79325636,53.21147962
Westchester,55117.27962,419.8370267,318.2234533,0.237613522,8912064.768,30.58625085,210.3655889,57.29823772,42.70176228,50.0609204
Yonkers,54150.36199,367.8090022,342.3189079,0.19678392,9502588.201,49.58767849,784.2544938,55.35650506,44.64349494,58.73876339
Adirondacks,62407.74874,86.60695129,439.5557468,0.213577755,5206613.601,61.0626986,859.6307628,34.11523309,65.88476691,73.8129255
Albany,50195.02838,88.17697134,118.064078,0.186083603,6520702.503,35.27198995,913.1108449,18.92073221,81.07926779,68.99108271
Binghamton,71803.01116,493.9878103,389.871249,0.093547411,2503305.515,51.03761587,1451.840972,56.78849504,43.21150496,20.30204063
Buffalo,46030.1475,218.4218581,290.3032063,0.123773987,9920517.635,31.99218653,899.4045823,24.32852729,75.67147271,0
Catskills,90802.5375,216.7889662,394.747617,0.174468728,3085045.312,34.71470983,1007.648521,46.25509572,53.74490428,68.68639822
Elmira,59385.01022,415.7598053,207.7859186,0.08889361,9484585.967,53.81539657,627.5794356,45.29217008,54.70782992,22.66242603
Finger Lakes,37142.63665,476.2618598,901.4745527,0.185649922,6846819.841,37.96294524,871.8532249,79.03409268,20.96590732,45.50469196
Hudson Valley,33936.61253,493.7004787,634.2332082,0.13798373,6469631.154,64.0524509,609.0853291,60.54402187,39.45597813,26.59773948
Ithaca,57237.08623,389.0201834,711.1920872,0.13125896,5614196.599,71.36789815,331.7526628,57.89027349,42.10972651,13.96039125
Jamestown,46648.05822,219.3168135,810.2541147,0.185547998,3076028.305,78.03520195,1286.207468,51.92699174,48.07300826,60.82925456
Long Island,60710.00741,87.57532251,548.597979,0.172213166,2588752.288,42.00901465,1402.783037,35.6533478,64.3466522,65.18310321
Mohawk Valley,57098.56437,399.7161122,178.2282593,0.131951692,2984375.882,40.04895494,1315.082623,39.53653828,60.46346172,38.46979199
New York City,48907.56631,301.2819124,583.3958876,0.20796649,2677944.359,36.27407042,1034.289279,48.14033441,51.85966559,0
Niagara,37298.09423,240.8999042,628.1570062,0.095946834,8016260.262,68.18581497,883.6144043,51.78551816,48.21448184,39.07511103
North Country,27277.29163,457.8594733,770.8955268,0.18079678,4151127.333,72.38854359,1754.000569,62.80283189,37.19716811,57.83608011
Plattsburgh,43302.27572,100.038867,488.4935916,0.179655063,1520584.089,31.89516869,1134.347213,39.37792297,60.62207703,20.42176862
Poughkeepsie,62845.98191,271.6812969,214.8222725,0.134522678,9721923.671,86.17273477,1062.52738,35.18946874,64.81053126,53.6671984
Rochester,53211.40616,55.10914015,355.3983152,0.166306651,8954072.965,33.11827702,246.1557185,27.70616546,72.29383454,49.69380302
Saratoga,31313.91832,260.8972889,426.7740668,0.087444321,9349770.549,62.47778012,814.2460897,38.27871644,61.72128356,61.58582999
Syracuse,52597.71389,75.33647406,681.3255172,0.196201351,9954170.404,72.54363117,884.3521138,30.15093996,69.84906004,52.39160737
Troy,55779.7607,103.4680623,613.7004742,0.140754893,2565057.243,82.25814742,917.8810056,43.80816788,56.19183212,30.53862118
Utica,36742.13846,102.886811,420.4870533,0.123863849,4566178.17,72.84521593,1244.310265,37.74426713,62.25573287,73.93143003
Watertown,52305.87659,342.144636,987.8637239,0.202450461,7824146.281,78.10368498,1160.484584,68.55011784,31.44988216,46.82940854
Westchester,50873.13078,385.7201957,645.1973374,0.114782815,7264185.562,50.36701155,1294.229167,59.31876282,40.68123718,49.45390921
Yonkers,32855.44553,312.5159443,313.5041126,0.079576935,2385063.157,78.88950682,1576.789871,40.28982588,59.71017412,31.33464082
